Description,Category,Sub_Category
NEFT/SBIN916162127714/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SD1308679702/MANOJ K,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316168317601/RAK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316168348715/MUK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316168320808/MUK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316169520860/A D,Transfers_Internal_Movement,External_Transfer
NEFT/FDRL439156264/ACHARIY,Transfers_Internal_Movement,External_Transfer
NEFT/SAA34915621/SHIV SHA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616176940371/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16179A02820/CHA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716179727588/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816180176925/DEE,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816181708340/GOB,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816181725132/NAZ,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816181727342/ABB,Transfers_Internal_Movement,External_Transfer
NEFT/SAA205140562/RAJNISH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916182568748/JAW,Transfers_Internal_Movement,External_Transfer
NEFT/SAA205977061/PRAVEEN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516186067895/Mrs,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616187051242/MO,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816193916982/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116194122076/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216196807820/M S,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316197386153/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/IBKL160715032313/MD,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316197729327/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316197771024/SUM,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416200847549/KUL,Transfers_Internal_Movement,External_Transfer
NEFT/VCGBH16201473150/SUR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516201186588/M S,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516201283749/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16201130367/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/N203160171249493/UJA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16203A02342/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16203950524/YUG,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616204824059/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16204A05024/SUN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716207496423/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716207563847/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716207739939/GOB,Transfers_Internal_Movement,External_Transfer
NEFT/SAA209471183/PRAVEEN,Transfers_Internal_Movement,External_Transfer
NEFT/SAA209481181/RAJNISH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916210629562/MD,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916211962920/GOU,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116212431058/GOU,Transfers_Internal_Movement,External_Transfer
NEFT/IBKL160730922905/MD,Transfers_Internal_Movement,External_Transfer
NEFT/BARBH16215547124/MAN,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16216653709/AMR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516216068416/KUN,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16217771228/GAY,Transfers_Internal_Movement,External_Transfer
NEFT/PUNBH16218531092/ASH,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16221A01703/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916221237880/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16223186111/RAK,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16223132289/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316224151904/RAM,Transfers_Internal_Movement,External_Transfer
NEFT/P16081210064975/ANIL,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16231A00772/SON,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16233A06107/SON,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816236506566/SUD,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816237956149/ANK,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16237A06113/DHA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16237A06186/SON,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916238278625/FIR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916238291478/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16242200003/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216243251832/DHA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216243317496/ASH,Transfers_Internal_Movement,External_Transfer
NEFT/N244160182458867/SMA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16245A00904/HAR,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16245A00945/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516245435372/ROH,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16247A05058/SEE,Transfers_Internal_Movement,External_Transfer
NEFT/UTBIN16249526895/MUN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816249307265/NAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916251519257/SHU,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16252A09706/ANI,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16252820852/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16252A09655/MAN,Transfers_Internal_Movement,External_Transfer
NEFT/N252160186060982/PAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216253660797/RAN,Transfers_Internal_Movement,External_Transfer
NEFT/VIJBH16253024948/ANI,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16253896956/OM,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316253200646/ARB,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16256A05985/VIK,Transfers_Internal_Movement,External_Transfer
NEFT/SAA77688970/AGRADUT,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516258102528/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN616259043936/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16263432048/CHA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16263A03570/ARU,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716263669458/PRA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716264903035/S K,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816265561545/NIT,Transfers_Internal_Movement,External_Transfer
NEFT/UTBIN16266467185/MUN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116270149261/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16270135641/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/PUNBH16271276983/TAP,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16271887938/CHA,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16272458415/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16272A09224/MAN,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16272A09388/DHE,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16272A09262/RAK,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16272A09166/GUD,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16272A09197/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216273932967/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316273038712/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/UTBIN16273732103/M/S,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316273362578/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316273440441/PRI,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16273133139/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316273522566/M S,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16274A04738/MAH,Transfers_Internal_Movement,External_Transfer
NEFT/UTBIN16275043249/IJA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16277A00957/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16277A09229/VIK,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16287A05619/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416287847203/NAB,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16287A07910/DHE,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516288401682/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN516288474497/M H,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16289A04744/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16289A08393/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/N293160197868430/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/BARBH16294527200/AKH,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16294A04839/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16294A04692/HAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116298681910/GAN,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16298499334/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16299A08915/MAH,Transfers_Internal_Movement,External_Transfer
NEFT/N299160199285360/RAK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416301935538/MOH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816303366296/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116305096270/IRF,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216307265211/ROH,Transfers_Internal_Movement,External_Transfer
NEFT/P16110447781189/UPEN,Transfers_Internal_Movement,External_Transfer
NEFT/SAA37986382/JITENDRA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16313A08810/JIT,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16318A06030/MUN,Transfers_Internal_Movement,External_Transfer
NEFT/AXISF16318000234/SUM,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16322A00296/ASH,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16322A00231/NIL,Transfers_Internal_Movement,External_Transfer
NEFT/PUNBH16323383189/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/PUGBH16323282208/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/AXSK163240006111/MAH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216327754744/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16327500557/SAI,Transfers_Internal_Movement,External_Transfer
NEFT/BARBH16327549610/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/IBKL161123081134/SAC,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16328518534/SHR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316329772877/M S,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316329804113/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316329788979/M S,Transfers_Internal_Movement,External_Transfer
NEFT/000017885305/VINITA,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16329563035/VIS,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16329549188/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316329943138/MOH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN316329943719/PAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416330350067/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416330433005/HEM,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416330583714/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/MAHBH16330589081/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/N330160210685878/RAJ,Transfers_Internal_Movement,External_Transfer
NEFT/SDC49400210/GOVINDSI,Transfers_Internal_Movement,External_Transfer
NEFT/BDBLH16334003065/NAN,Transfers_Internal_Movement,External_Transfer
NEFT/ALLAH16334158721/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/BARBH16335651527/SHA,Transfers_Internal_Movement,External_Transfer
NEFT/0P16113016945610/SAT,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16335A07116/KAV,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN716335138946/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16335158143/Mr.,Transfers_Internal_Movement,External_Transfer
NEFT/1091242044/SANWARIYA,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816336479938/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SAA38581225/JITENDRA,Transfers_Internal_Movement,External_Transfer
NEFT/SAA231927480/KANTNIS,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916336237712/RAK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916336236043/FAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN916337969837/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116337379239/ROH,Transfers_Internal_Movement,External_Transfer
NEFT/N337160213723440/ANS,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN116337455715/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16337187796/AJA,Transfers_Internal_Movement,External_Transfer
NEFT/SBHY516338879156/JAY,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN216338216703/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16341A05108/SHA,Transfers_Internal_Movement,External_Transfer
NEFT/CBINH16341A05041/AMR,Transfers_Internal_Movement,External_Transfer
NEFT/ALLAH16342461607/M/s,Transfers_Internal_Movement,External_Transfer
NEFT/SBHY616348705420/JAY,Transfers_Internal_Movement,External_Transfer
NEFT/17920614C1600001/NAY,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN16349979816/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/AXIR163517559576/SAN,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN816356480003/SIS,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN416364533068/BIK,Transfers_Internal_Movement,External_Transfer
NEFT/BKIDN17003770149/ARJ,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN317013377571/NIK,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN117034378839/ROH,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN317037483530/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN417038897386/Mr,Transfers_Internal_Movement,External_Transfer
NEFT/1164947163/DILIP POP,Transfers_Internal_Movement,External_Transfer
NEFT/1165815732/DILIP POP,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN417080713726/NAR,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN117123335066/GAY,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN517151880769/DIL,Transfers_Internal_Movement,External_Transfer
NEFT/SBIN517151881312/DIL,Transfers_Internal_Movement,External_Transfer
SERVICE TAX,Legal_Government,Tax_Payments_Refunds
IMPS 809712134438 FROM OX,Transfers_Internal_Movement,External_Transfer
IMPS 809712134386 FROM OX,Transfers_Internal_Movement,External_Transfer
NEFT/FDRL401250221/Indiaforensic,Transfers_Internal_Movement,External_Transfer
NEFT/FDRL401250220/Indiaforensic,Transfers_Internal_Movement,External_Transfer
RUPAY POS ACQ SETTL 14051,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 27051,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 02061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 12061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 14061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 15061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 16061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 17061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 19061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 20061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 21061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 22061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 23061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 24061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 26061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 25061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 28061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 30061,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 02071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 04071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 05071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 06071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 07071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 08071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 09071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 10071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 11071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 12071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 13071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 14071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 15071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 16071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 17071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 18071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 19071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 20071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 21071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 22071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 23071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 24071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 25071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 26071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 27071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 28071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 29071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 30071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 31071,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 04081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 05081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 06081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 08081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 09081,Shopping,POS_Purchases
3RUPAY POS ACQ SETTL 1008,Shopping,POS_Purchases
RUPAY POS ACQ SETT ADJ 10,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 12081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 13081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 14081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 15081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 16081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 17081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 18081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 19081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 20081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 21081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 23081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 24081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 25081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 26081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 27081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 28081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 29081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 30081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 31081,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 02091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 06091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 07091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 08091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 09091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 10091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 11091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 12091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 13091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 14091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 15091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 16091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 17091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 18091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 19091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 20091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 21091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 22091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 23091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 24091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 25091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 26091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 27091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 28091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 29091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 30091,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 02101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 04101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 05101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 06101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 07101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 09101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 10101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 08101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 11101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 12101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 13101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 14101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 15101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 16101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 17101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 18101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 19101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 20101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 21101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 22101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 23101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 24101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 25101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 26101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 27101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 28101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 29101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 30101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 31101,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 01111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 02111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 03111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 04111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 05111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 06111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 07111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 08111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 09111,Shopping,POS_Purchases
RUPAY POS ACQ SETTL 10111,Shopping,POS_Purchases
